 	cell	area	x	y	BFI_lev_b1	BFI_lev_b2	BFI_lev_b3	BFI_lev_b4	BFI_lev_b5	BFO_lev_b1	BFO_lev_b2	BFO_lev_b3	BFO_lev_b4	BFO_lev_b5	GFP_int_mean	GFP_int_b0	GFP_int_b1	GFP_int_b2	GFP_int_b3	GFP_int_b4	GFP_int_b5	GFP_int_b6	GFP_int_b7	GFP_int_b8	GFP_int_b9	GFP_int_b10	RFP_int_mean	RFP_int_b0	RFP_int_b1	RFP_int_b2	RFP_int_b3	RFP_int_b4	RFP_int_b5	RFP_int_b6	RFP_int_b7	RFP_int_b8	RFP_int_b9	RFP_int_b10	inGFPnfoci	f1_inGFParea	f1_inGFPx	f1_inGFPy	f2_inGFParea	f2_inGFPx	f2_inGFPy	f1_inGFP_toGFPmed	f2_inGFP_toGFPmed	f2_inGFP_toGFPmean	f1_inGFP_toRFPmed	f2_inGFP_toRFPmed	f2_inGFP_toRFPmean	inRFPnfoci	f1_inRFParea	f1_inRFPx	f1_inRFPy	f2_inRFParea	f2_inRFPx	f2_inRFPy	f1_inRFP_toGFPmed	f2_inRFP_toGFPmed	f2_inRFP_toGFPmean	f1_inRFP_toRFPmed	f2_inRFP_toRFPmed	f2_inRFP_toRFPmean	f1_inGFP_toGFPmean	f1_inGFP_toRFPmean	f1_inRFP_toGFPmean	f1_inRFP_toRFPmean
1	1	2457	1684.632	245.750	2054	253	59	35	34	2040	304	55	27	19	229.248	3722	336	186	131	111	108	106	105	104	103	97	124.941	576	161	135	111	106	105	104	103	102	101	96	1	110	1697.074	234.116	0	0.000	0.000	1789	0	0	325	0	0	1	110	1698.175	233.502	0	0.000	0.000	1415	0	0	325	0	0	0	0	0	0
2	2	697	161.798	240.002	145	273	193	57	10	91	242	196	125	28	116.653	138	123	121	120	118	117	115	114	112	110	102	190.274	254	230	222	213	203	192	180	171	162	150	116	0	0	0.000	0.000	0	0.000	0.000	0	0	0	0	0	0	0	0	0.000	0.000	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0
3	3	582	677.524	265.315	151	164	165	69	23	69	184	249	60	11	148.649	463	174	158	152	147	143	136	131	125	118	104	287.172	686	387	354	331	309	287	261	235	204	164	120	1	15	671.936	265.083	0	0.000	0.000	327	0	0	588	0	0	0	0	0.000	0.000	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0
4	4	1016	71.786	344.050	470	230	178	105	23	328	255	188	157	74	352.945	2360	568	417	353	310	285	257	227	191	156	118	613.075	4080	1023	772	634	543	487	423	358	283	209	133	1	41	68.001	334.093	0	0.000	0.000	1407	0	0	2572	0	0	1	58	68.778	333.957	0	0.000	0.000	1121	0	0	2291	0	0	0	0	0	0
5	5	1252	1501.470	460.039	267	314	350	229	67	254	495	323	147	11	156.576	424	216	193	174	160	146	135	127	120	112	102	282.907	502	418	379	342	308	270	241	220	198	162	109	1	17	1505.806	448.718	0	0.000	0.000	280	0	0	384	0	0	0	0	0.000	0.000	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0
6	6	3166	1866.018	520.183	2729	310	59	36	19	2639	342	97	35	32	407.149	1810	1161	930	462	151	127	121	118	115	112	103	109.071	149	124	119	111	106	105	104	103	102	101	94	0	0	0.000	0.000	0	0.000	0.000	0	0	0	0	0	0	0	0	0.000	0.000	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0
7	7	989	486.363	879.472	284	241	258	150	37	191	188	359	188	39	542.405	6075	1019	467	342	289	261	245	229	210	187	122	318.481	3409	566	252	197	176	166	158	150	140	127	108	1	80	488.639	878.824	0	0.000	0.000	2784	0	0	1570	0	0	1	85	488.660	878.779	0	0.000	0.000	2574	0	0	1472	0	0	0	0	0	0
8	8	742	1851.441	964.127	262	199	203	52	14	138	225	234	108	20	168.088	233	201	194	186	178	170	163	153	143	129	109	474.770	797	670	618	575	533	494	450	399	335	237	126	0	0	0.000	0.000	0	0.000	0.000	0	0	0	0	0	0	0	0	0.000	0.000	0	0.000	0.000	0	0	0	0	0	0	0	0	0	0
9	9	729	1455.117	988.768	315	175	128	81	20	265	191	163	73	23	307.846	1030	480	380	325	296	272	251	232	208	180	135	306.444	923	523	402	326	285	262	245	222	197	170	120	2	17	1450.950	990.891	12	1457.267	979.314	685	837	0	689	794	0	2	15	1451.558	990.645	16	1457.527	978.307	693	588	0	719	737	0	0	0	0	0
10	10	880	1416.739	1014.951	284	188	180	137	82	343	211	190	105	15	252.949	1883	326	254	233	213	202	192	185	179	171	129	270.376	2046	372	281	239	221	204	196	189	182	173	136	1	37	1420.824	1004.641	0	0.000	0.000	928	0	0	1037	0	0	2	10	1429.241	1011.324	39	1420.435	1004.101	512	860	0	521	1018	0	0	0	0	0
