well,GFP,RFP,bio_replica,tech_replica,pdb,description,organism
A1,v401,4ltb-Im2_V37A,1,1,1q5y,wt_nickel_responsive_regulator,E. coli
A2,v401,4ltb-Im2_V37A,2,2,1q5y,wt_nickel_responsive_regulator,E. coli
A3,v401,4ltb-Im2_V37A,3,3,1q5y,wt_nickel_responsive_regulator,E. coli
A4,v401,4ltb-Im2_V37A,4,4,1q5y,wt_nickel_responsive_regulator,E. coli
A5,v401,4ltb-Im2_V37A,5,5,1q5y,wt_nickel_responsive_regulator,E. coli
A6,v401,4ltb-Im2_V37A,6,6,1q5y,wt_nickel_responsive_regulator,E. coli
A7,v401,4ltb-Im2_V37A,1,7,1q5y,wt_nickel_responsive_regulator,E. coli
A8,v401,4ltb-Im2_V37A,2,8,1q5y,wt_nickel_responsive_regulator,E. coli
A9,v401,4ltb-Im2_V37A,3,9,1q5y,wt_nickel_responsive_regulator,E. coli
A10,v401,4ltb-Im2_V37A,4,10,1q5y,wt_nickel_responsive_regulator,E. coli
A11,v401,4ltb-Im2_V37A,5,11,1q5y,wt_nickel_responsive_regulator,E. coli
A12,v401,4ltb-Im2_V37A,6,12,1q5y,wt_nickel_responsive_regulator,E. coli
A13,v402,4ltb-Im2_V37A,1,1,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A14,v402,4ltb-Im2_V37A,2,2,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A15,v402,4ltb-Im2_V37A,3,3,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A16,v402,4ltb-Im2_V37A,4,4,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A17,v402,4ltb-Im2_V37A,5,5,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A18,v402,4ltb-Im2_V37A,6,6,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A19,v402,4ltb-Im2_V37A,1,7,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A20,v402,4ltb-Im2_V37A,2,8,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A21,v402,4ltb-Im2_V37A,3,9,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A22,v402,4ltb-Im2_V37A,4,10,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A23,v402,4ltb-Im2_V37A,5,11,1q5y_mut,mut_nickel_responsive_regulator,E. coli
A24,v402,4ltb-Im2_V37A,6,12,1q5y_mut,mut_nickel_responsive_regulator,E. coli
B1,v403,4ltb-Im2_V37A,1,1,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B2,v403,4ltb-Im2_V37A,2,2,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B3,v403,4ltb-Im2_V37A,3,3,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B4,v403,4ltb-Im2_V37A,4,4,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B5,v403,4ltb-Im2_V37A,5,5,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B6,v403,4ltb-Im2_V37A,6,6,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B7,v403,4ltb-Im2_V37A,1,7,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B8,v403,4ltb-Im2_V37A,2,8,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B9,v403,4ltb-Im2_V37A,3,9,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B10,v403,4ltb-Im2_V37A,4,10,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B11,v403,4ltb-Im2_V37A,5,11,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B12,v403,4ltb-Im2_V37A,6,12,2bj1,put_Ni_responsive_regulator,P. horikoshii OT3
B13,v404,4ltb-Im2_V37A,1,1,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B14,v404,4ltb-Im2_V37A,2,2,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B15,v404,4ltb-Im2_V37A,3,3,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B16,v404,4ltb-Im2_V37A,4,4,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B17,v404,4ltb-Im2_V37A,5,5,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B18,v404,4ltb-Im2_V37A,6,6,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B19,v404,4ltb-Im2_V37A,1,7,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B20,v404,4ltb-Im2_V37A,2,8,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B21,v404,4ltb-Im2_V37A,3,9,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B22,v404,4ltb-Im2_V37A,4,10,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B23,v404,4ltb-Im2_V37A,5,11,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
B24,v404,4ltb-Im2_V37A,6,12,2bj1_mut,mut_put_nickel_responsive_regulator,P. horikoshii OT3
C1,v1201,4ltb-Im2_V37A,1,1,2cz8,dodecin_putative_protein,T. thermophilus HB8
C2,v1201,4ltb-Im2_V37A,2,2,2cz8,dodecin_putative_protein,T. thermophilus HB8
C3,v1201,4ltb-Im2_V37A,3,3,2cz8,dodecin_putative_protein,T. thermophilus HB8
C4,v1201,4ltb-Im2_V37A,4,4,2cz8,dodecin_putative_protein,T. thermophilus HB8
C5,v1201,4ltb-Im2_V37A,5,5,2cz8,dodecin_putative_protein,T. thermophilus HB8
C6,v1201,4ltb-Im2_V37A,6,6,2cz8,dodecin_putative_protein,T. thermophilus HB8
C7,v1201,4ltb-Im2_V37A,1,7,2cz8,dodecin_putative_protein,T. thermophilus HB8
C8,v1201,4ltb-Im2_V37A,2,8,2cz8,dodecin_putative_protein,T. thermophilus HB8
C9,v1201,4ltb-Im2_V37A,3,9,2cz8,dodecin_putative_protein,T. thermophilus HB8
C10,v1201,4ltb-Im2_V37A,4,10,2cz8,dodecin_putative_protein,T. thermophilus HB8
C11,v1201,4ltb-Im2_V37A,5,11,2cz8,dodecin_putative_protein,T. thermophilus HB8
C12,v1201,4ltb-Im2_V37A,6,12,2cz8,dodecin_putative_protein,T. thermophilus HB8
C13,v2401,4ltb-Im2_V37A,1,1,1sq3_E65R,Ferritin,A. fulgidus
C14,v2401,4ltb-Im2_V37A,2,2,1sq3_E65R,Ferritin,A. fulgidus
